,,,,,,,,,,
,Consumer prices of petroleum products net of duties and taxes,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AT,,,,,,,,,,
,,,,,,,,,,
,Date,"ExchangeRateTo €",Euro-super 95  (I), Gas oil automobile Automotive gas oil Dieselkraftstoff (I), Gas oil de chauffage Heating gas oil Heizöl (II), Fuel oil - Schweres Heizöl (III) Soufre <= 1% Sulphur <= 1% Schwefel <= 1%,,,,
,,,1000L,1000L,1000L,t,,,,
,11/09/06,2.32937,659.45,628.98,617.28,343.58,,,,
,04/09/06,2.32937,659.45,628.98,617.28,343.58,,,,
,28/08/06,2.32937,667.34,623.06,617.28,337.76,,,,
,21/08/06,2.32937,667.34,623.06,617.28,337.76,,,,
,14/08/06,2.32937,667.34,623.06,617.28,337.76,,,,
,07/08/06,2.32937,667.34,623.06,617.28,337.76,,,,
,31/07/06,2.32937,669.32,615.16,617.28,330.77,,,,
,24/07/06,2.32937,669.32,615.16,617.28,330.77,,,,
,17/07/06,2.32937,669.32,615.16,617.28,330.77,,,,
,10/07/06,2.32937,669.32,615.16,617.28,330.77,,,,
,03/07/06,2.32937,669.32,615.16,617.28,330.77,,,,
,26/06/06,2.32937,671.3,636.87,556.72,337.76,,,,
,19/06/06,2.32937,671.3,636.87,556.72,337.76,,,,
,12/06/06,2.32937,671.3,636.87,556.72,337.76,,,,
,05/06/06,2.32937,671.3,636.87,556.72,337.76,,,,
,29/05/06,2.32937,665.36,615.16,556.72,335.43,,,,
,22/05/06,2.32937,665.36,615.16,556.72,335.43,,,,
,15/05/06,2.32937,665.36,615.16,556.72,335.43,,,,
,08/05/06,2.32937,665.36,615.16,556.72,335.43,,,,
,01/05/06,2.32937,665.36,615.16,556.72,335.43,,,,
,24/04/06,2.32937,606.15,585.56,542.74,342.42,,,,
,10/04/06,2.32937,606.15,585.56,542.74,342.42,,,,
,03/04/06,2.32937,606.15,585.56,542.74,342.42,,,,
,27/03/06,2.32937,588.38,573.7,542.74,343.58,,,,
,20/03/06,2.32937,588.38,573.7,542.74,343.58,,,,
,13/03/06,2.32937,588.38,573.7,542.74,343.58,,,,
,06/03/06,2.32937,588.38,573.7,542.74,343.58,,,,
,27/02/06,2.32937,588.38,573.7,542.74,343.58,,,,
,20/02/06,2.32937,629.84,581.6,542.74,338.92,,,,
,13/02/06,2.32937,629.84,581.6,542.74,338.92,,,,
,06/02/06,2.32937,629.84,581.6,542.74,338.92,,,,
,30/01/06,2.32937,629.84,581.6,542.74,338.92,,,,
,23/01/06,2.32937,610.11,553.97,542.74,316.79,,,,
,16/01/06,2.32937,610.11,553.97,542.74,316.79,,,,
,09/01/06,2.32937,610.11,553.97,542.74,316.79,,,,
,19/12/05,2.32937,681.16,561.87,542.74,337.76,,,,
,12/12/05,2.32937,681.16,561.87,542.74,337.76,,,,
,05/12/05,2.32937,681.16,561.87,542.74,337.76,,,,
,28/11/05,2.32937,681.16,561.87,542.74,337.76,,,,
,21/11/05,2.32937,685.12,595.43,542.74,337.76,,,,
,14/11/05,2.32937,685.12,595.43,542.74,337.76,,,,
,07/11/05,2.32937,685.12,595.43,542.74,337.76,,,,
,24/10/05,2.32937,568.65,579.64,407.64,252.74,,,,
,17/10/05,2.32937,568.65,579.64,407.64,252.74,,,,
,10/10/05,2.32937,568.65,579.64,407.64,252.74,,,,
,03/10/05,2.32937,568.65,579.64,407.64,252.74,,,,
,26/09/05,2.32937,442.58,478.97,407.64,210.81,,,,
,19/09/05,2.32937,442.58,478.97,407.64,210.81,,,,
,12/09/05,2.32937,442.58,478.97,407.64,210.81,,,,
,05/09/05,2.32937,442.58,478.97,407.64,210.81,,,,
,29/08/05,2.32937,442.58,478.97,407.64,210.81,,,,
,22/08/05,2.32937,442.58,478.97,407.64,210.81,,,,
,15/08/05,2.32992,442.68,479.08,407.74,210.86,,,,
,08/08/05,2.32937,442.58,478.97,407.64,210.81,,,,
,01/08/05,2.32937,442.58,478.97,407.64,210.81,,,,
,25/07/05,2.32937,442.58,478.97,407.64,210.81,,,,
,18/07/05,2.32937,442.58,478.97,407.64,210.81,,,,
,11/07/05,2.32937,442.58,478.97,407.64,210.81,,,,
,04/07/05,2.32937,442.58,478.97,407.64,210.81,,,,
,27/06/05,2.32937,442.58,478.97,407.64,162.68,,,,
,20/06/05,2.32937,442.58,478.97,407.64,162.68,,,,
,13/06/05,2.32937,442.58,478.97,407.64,162.68,,,,
,30/05/05,2.32937,442.58,478.97,407.64,162.68,,,,
,23/05/05,2.32937,442.58,478.97,407.64,162.68,,,,
,16/05/05,2.32937,442.58,478.97,407.64,162.68,,,,
,09/05/05,2.32937,442.58,478.97,407.64,162.68,,,,
,02/05/05,2.33209,443.1,479.52,408.12,162.87,,,,
,25/04/05,2.32883,442.48,478.85,407.55,162.65,,,,
,18/04/05,2.32558,441.86,478.19,406.98,162.42,,,,
,11/04/05,2.32342,441.45,477.74,406.6,162.27,,,,
,04/04/05,2.32450,429.57,462.2,357.97,162.34,,,,
,21/03/05,2.31267,427.38,459.85,356.15,161.52,,,,
,14/03/05,2.31160,427.18,459.64,355.99,161.44,,,,
,07/03/05,2.31803,428.37,460.92,356.98,161.89,,,,
,28/02/05,2.31750,428.27,460.81,356.89,161.85,,,,
,21/02/05,2.32072,428.87,461.45,357.39,162.08,,,,
,14/02/05,2.32288,429.27,461.88,357.72,162.23,,,,
,07/02/05,2.32504,429.67,462.31,358.06,162.38,,,,
,31/01/05,2.31965,428.67,461.24,357.23,162,,,,
,24/01/05,2.31642,428.08,460.6,356.73,161.78,,,,
,17/01/05,2.31107,427.09,459.53,355.9,161.41,,,,
,10/01/05,2.31428,427.68,460.17,356.4,161.63,,,,
,03/01/05,2.30256,425.51,457.84,354.59,160.81,,,,
,,,,,,,,,,
,,,,,,,,,,
NL,,,,,,,,,,
,,,,,,,,,,
,Date,"ExchangeRateTo €",Euro-super 95  (I), Gas oil automobile Automotive gas oil Dieselkraftstoff (I), Gas oil de chauffage Heating gas oil Heizöl (II), Fuel oil - Schweres Heizöl (III) Soufre <= 1% Sulphur <= 1% Schwefel <= 1%,GPL pour moteur LPG motor fuel,,,
,,,1000L,1000L,1000L,t,1000L,,,
,13/11/23,1.00000,853.31,988.97,0,0,475.52,,,
,06/11/23,1.00000,863.23,"1,012.94",0,0,468.91,,,
,30/10/23,1.00000,863.23,"1,020.38",0,0,468.08,,,
,23/10/23,1.00000,878.93,"1,038.56",0,0,471.39,,,
,16/10/23,1.00000,881.41,"1,036.08",0,0,477.17,,,
,09/10/23,1.00000,903.73,"1,048.48",0,0,473.87,,,
,02/10/23,1.00000,941.74,"1,075.75",0,0,478.83,,,
,25/09/23,1.00000,962.4,"1,088.15",0,0,465.6,,,
,18/09/23,1.00000,970.67,"1,093.11",0,0,460.64,,,
,11/09/23,1.00000,942.57,"1,033.6",0,0,432.54,,,
,04/09/23,1.00000,944.22,"1,011.29",0,0,429.24,,,
,28/08/23,1.00000,924.39,983.19,0,0,417.67,,,
,21/08/23,1.00000,921.91,980.71,0,0,412.71,,,
,14/08/23,1.00000,921.91,980.71,0,0,412.71,,,
,07/08/23,1.00000,913.64,963.35,0,0,414.36,,,
,31/07/23,1.00000,898.77,916.25,0,0,411.06,,,
,24/07/23,1.00000,992.53,860.87,0,0,446.06,,,
,17/07/23,1.00000,980.96,849.3,0,0,444.4,,,
,10/07/23,1.00000,970.22,838.56,0,0,447.71,,,
,03/07/23,1.00000,974.35,833.6,0,0,461.76,,,
,26/06/23,1.00000,852.03,844.79,0,0,435.31,,,
,19/06/23,1.00000,852.86,835.7,0,0,440.27,,,
,12/06/23,1.00000,852.86,829.91,0,0,451.01,,,
,05/06/23,1.00000,837.16,815.86,0,0,460.93,,,
,29/05/23,1.00000,844.6,821.65,0,0,465.06,,,
,22/05/23,1.00000,834.68,819.17,0,0,471.68,,,
,15/05/23,1.00000,830.55,815.04,0,0,475.81,,,
,08/05/23,1.00000,821.46,806.77,0,0,475.81,,,
,01/05/23,1.00000,846.25,835.7,0,0,484.9,,,
,24/04/23,1.00000,856.99,860.49,0,0,503.91,,,
,17/04/23,1.00000,893.36,897.68,0,0,517.96,,,
,10/04/23,1.00000,895.84,913.38,0,0,527.05,,,
,03/04/23,1.00000,863.6,905.94,0,0,535.31,,,
,27/03/23,1.00000,828.89,907.6,0,0,552.67,,,
,20/03/23,1.00000,812.36,891.9,0,0,557.63,,,
,13/03/23,1.00000,854.51,939.83,0,0,556.8,,,
,06/03/23,1.00000,853.69,958.84,0,0,560.93,,,
,27/02/23,1.00000,830.55,929.91,"1,902",745,551.84,,,
,20/02/23,1.00000,842.12,946.44,"1,902",745,536.14,,,
,13/02/23,1.00000,842.94,965.45,"1,902",745,525.39,,,
,06/02/23,1.00000,857.82,"1,019.17","1,902",745,508.04,,,
,30/01/23,1.00000,881.79,"1,077.85","1,902",745,493.99,,,
,23/01/23,1.00000,861.12,"1,048.92","1,902",745,481.59,,,
,16/01/23,1.00000,839.64,"1,035.7","1,146.44",706.14,484.9,,,
,09/01/23,1.00000,831.37,"1,040.66","1,146.44",706.14,480.77,,,
,02/01/23,1.00000,824.76,"1,046.44","1,146.44",706.14,474.15,,,
,26/12/22,1.00000,793.36,"1,024.13","1,146.44",706.14,482.42,,,
,19/12/22,1.00000,780.96,"1,021.65","1,146.44",706.14,494.82,,,
,12/12/22,1.00000,771.04,990.24,"1,146.44",706.14,506.39,,,
,05/12/22,1.00000,828.07,"1,048.92","1,146.44",706.14,512.17,,,
,28/11/22,1.00000,835.5,"1,056.36","1,146.44",706.14,517.13,,,
,21/11/22,1.00000,869.98,"1,098.53","1,146.44",706.14,525.87,,,
,14/11/22,1.00000,947.9,"1,175.37","1,146.44",706.14,525.39,,,
,07/11/22,1.00000,"1,018.15","1,286.94","1,146.44",706.14,522.92,,,
,31/10/22,1.00000,"1,004.1","1,335.7","1,146.44",706.14,527.05,,,
,24/10/22,1.00000,"1,014.02","1,343.96","1,146.44",706.14,533.66,,,
,17/10/22,1.00000,"1,020.63","1,324.95","1,148.09",707.14,532.01,,,
,10/10/22,1.00000,971.04,"1,262.14","1,139",701.14,536.96,,,
,03/10/22,1.00000,942.94,"1,185.28","1,143.96",705.14,536.14,,,
,26/09/22,1.00000,934.68,"1,180.33","1,143.96",704.14,538.62,,,
,19/09/22,1.00000,948.73,"1,210.08","1,121.65",691.14,535.31,,,
,12/09/22,1.00000,984.27,"1,258.01","1,111.73",685.14,537.79,,,
,05/09/22,1.00000,"1,003.27","1,266.28","1,130.74",720.14,541.92,,,
,29/08/22,1.00000,"1,033.85","1,277.85","1,242.31",739.14,535.31,,,
,22/08/22,1.00000,"1,025.59","1,177.85","1,146.44",734.14,534.49,,,
,15/08/22,1.00000,"1,044.6","1,179.5","1,080.33",742.14,537.79,,,
,08/08/22,1.00000,"1,064.43","1,199.33","1,024.13",722.14,555.15,,,
,01/08/22,1.00000,"1,102.45","1,224.95","1,155.53",777.14,565.89,,,
,25/07/22,1.00000,"1,112.36","1,224.13","1,125.78",749.14,574.15,,,
,18/07/22,1.00000,"1,151.21","1,269.58","1,191.07",718.14,579.94,,,
,11/07/22,1.00000,"1,201.62","1,319.99","1,148.09",744.14,593.99,,,
,04/07/22,1.00000,"1,247.08","1,360.49","1,229.09",753.14,605.56,,,
,27/06/22,1.00000,"1,271.87","1,380.33","1,301.81",756.14,660.11,,,
,20/06/22,1.00000,"1,288.4","1,381.98","1,301.81",772.14,670.85,,,
,13/06/22,1.00000,"1,299.14","1,366.28","1,286.11",820.14,681.59,,,
,06/06/22,1.00000,"1,298.31","1,281.15","1,229.91",787.14,687.38,,,
,30/05/22,1.00000,"1,200.79","1,196.03","1,141.48",774.14,698.95,,,
,23/05/22,1.00000,"1,180.13","1,189.42","1,075.37",769.14,711.35,,,
,16/05/22,1.00000,"1,142.12","1,217.52","1,132.39",773.14,739.44,,,
,09/05/22,1.00000,"1,120.63","1,265.45","1,138.18",780.14,754.32,,,
,02/05/22,1.00000,"1,086.74","1,245.61","1,219.99",774.14,755.97,,,
,25/04/22,1.00000,"1,066.91","1,224.95","1,110.08",751.14,746.88,,,
,11/04/22,1.00000,"1,064.43","1,229.91",993.55,721.14,767.54,,,
,04/04/22,1.00000,"1,086.74","1,257.18","1,008.42",756.14,769.2,,,
,28/03/22,1.00000,"1,094.74","1,270.98","1,125.52",843.14,755.82,,,
,21/03/22,1.00000,"1,059.2","1,242.05","1,016.43",755.14,722.76,,,
,14/03/22,1.00000,"1,098.87","1,298.25",975.94,825.14,707.89,,,
,07/03/22,1.00000,"1,016.22","1,093.29","1,085.85",848.14,645.9,,,
,28/02/22,1.00000,903,941.23,800.73,687.14,574.83,,,
,21/02/22,1.00000,866.64,906.52,774.28,662.14,559.12,,,
,14/02/22,1.00000,860.85,908.17,789.16,669.14,557.47,,,
,07/02/22,1.00000,844.32,892.47,790.81,671.14,557.47,,,
,31/01/22,1.00000,829.45,881.72,771.8,645.14,563.26,,,
,24/01/22,1.00000,822.84,866.85,733.79,623.14,559.12,,,
,17/01/22,1.00000,808.79,840.4,714.78,596.14,549.21,,,
,10/01/22,1.00000,803.83,823.04,691.64,586.14,550.03,,,
,03/01/22,1.00000,801.35,802.38,647.01,557.14,558.3,,,
,20/12/21,1.00000,801.17,790.15,624.87,539.64,579.8,,,
,13/12/21,1.00000,811.09,797.59,630.65,552.64,566.57,,,
,06/12/21,1.00000,814.4,798.42,605.03,524.64,574.01,,,
,29/11/21,1.00000,837.54,820.73,590.98,533.64,579.8,,,
,22/11/21,1.00000,847.46,830.65,638.09,562.64,581.45,,,
,15/11/21,1.00000,840.84,827.34,662.88,577.64,573.19,,,
,08/11/21,1.00000,825.14,824.87,673.63,579.64,577.32,,,
,01/11/21,1.00000,813.57,825.69,667.01,581.64,577.32,,,
,25/10/21,1.00000,803.65,823.21,686.02,593.64,566.57,,,
,18/10/21,1.00000,797.87,815.77,700.9,595.64,560.79,,,
,11/10/21,1.00000,778.03,788.5,677.76,592.64,520.29,,,
,04/10/21,1.00000,717.7,723.21,619.08,555.64,477.32,,,
,27/09/21,1.00000,712.74,717.43,619.08,555.64,471.53,,,
,20/09/21,1.00000,715.22,709.16,595.11,532.64,471.53,,,
,13/09/21,1.00000,707.79,693.46,573.63,521.64,447.57,,,
,06/09/21,1.00000,703.65,690.15,581.06,525.64,445.09,,,
,30/08/21,1.00000,699.52,681.06,569.49,502.64,442.61,,,
,23/08/21,1.00000,691.26,668.67,524.87,466.64,429.38,,,
,16/08/21,1.00000,700.35,675.28,555.44,494.64,429.38,,,
,09/08/21,1.00000,702,677.76,552.14,493.64,435.17,,,
,02/08/21,1.00000,702.83,683.54,576.11,519.64,436.82,,,
,26/07/21,1.00000,690.43,677.76,569.49,510.64,431.86,,,
,19/07/21,1.00000,699.52,680.24,565.36,508.64,421.95,,,
,12/07/21,1.00000,696.22,682.72,577.76,516.64,421.12,,,
,05/07/21,1.00000,689.6,685.2,578.58,522.64,413.68,,,
,28/06/21,1.00000,678.86,677.76,567.84,508.64,416.16,,,
,21/06/21,1.00000,666.46,671.97,559.58,490.64,416.99,,,
,14/06/21,1.00000,654.07,657.92,548.83,473.64,413.68,,,
,07/06/21,1.00000,654.89,652.14,542.22,476.64,414.51,,,
,31/05/21,1.00000,639.19,630.65,526.52,458.64,415.33,,,
,24/05/21,1.00000,640.84,630.65,510.82,439.64,416.16,,,
,17/05/21,1.00000,650.76,638.92,520.73,452.64,417.81,,,
,10/05/21,1.00000,649.11,641.39,519.08,471.64,413.68,,,
,03/05/21,1.00000,642.5,633.96,503.38,458.64,423.6,,,
,26/04/21,1.00000,635.88,623.21,497.59,457.64,407.9,,,
,19/04/21,1.00000,626.79,619.91,503.38,468.64,419.47,,,
,12/04/21,1.00000,612.74,612.47,403.38,542.64,424.42,,,
,29/03/21,1.00000,606.13,613.3,415.77,555.64,417.81,,,
,22/03/21,1.00000,614.4,619.91,414.95,550.64,419.47,,,
,15/03/21,1.00000,622.66,631.48,443.05,589.64,421.12,,,
,08/03/21,1.00000,601.17,625.69,450.49,587.64,406.24,,,
,01/03/21,1.00000,591.26,620.73,426.52,561.64,414.51,,,
,22/02/21,1.00000,581.34,610.82,410.82,554.64,397.15,,,
,15/02/21,1.00000,562.33,585.2,408.34,535.64,383.93,,,
,08/02/21,1.00000,556.55,577.76,406.68,527.64,380.62,,,
,01/02/21,1.00000,530.1,552.96,370.32,483.64,361.61,,,
,25/01/21,1.00000,523.49,546.35,367.01,481.64,372.36,,,
,18/01/21,1.00000,527.62,550.49,362.88,484.64,374.01,,,
,11/01/21,1.00000,511.09,533.13,357.1,473.64,350.87,,,
,21/12/20,1.00000,481.75,515.65,341.27,463.24,326.6,,,
,14/12/20,1.00000,475.97,506.56,330.53,446.24,315.85,,,
,07/12/20,1.00000,467.7,498.3,330.53,432.24,315.03,,,
,30/11/20,1.00000,469.36,499.12,332.18,432.24,321.64,,,
,23/11/20,1.00000,454.48,478.46,313.17,399.24,326.6,,,
,16/11/20,1.00000,455.31,472.68,316.48,387.24,328.25,,,
,09/11/20,1.00000,441.26,452.02,294.99,367.24,324.95,,,
,02/11/20,1.00000,447.87,446.23,283.42,352.24,327.42,,,
,26/10/20,1.00000,470.18,462.76,302.43,377.24,331.56,,,
,19/10/20,1.00000,485.06,461.11,311.52,388.24,321.64,,,
,12/10/20,1.00000,492.5,462.76,309.04,392.24,310.9,,,
,05/10/20,1.00000,485.88,451.19,290.86,357.24,305.11,,,
,28/09/20,1.00000,481.75,446.23,294.99,369.24,287.76,,,
,21/09/20,1.00000,487.54,448.71,299.12,373.24,286.93,,,
,14/09/20,1.00000,479.27,446.23,274.33,353.24,286.93,,,
,07/09/20,1.00000,490.84,466.07,285.07,370.24,282.8,,,
,31/08/20,1.00000,494.98,483.42,299.12,399.24,296.02,,,
,24/08/20,1.00000,488.36,485.9,296.64,397.24,296.85,,,
,17/08/20,1.00000,490.84,489.21,294.17,411.24,291.89,,,
,10/08/20,1.00000,479.27,490.03,291.69,405.24,291.89,,,
,03/08/20,1.00000,472.66,487.55,285.07,398.24,291.89,,,
,27/07/20,1.00000,481.75,497.47,285.9,416.24,296.02,,,
,20/07/20,1.00000,478.45,494.99,287.55,415.24,300.98,,,
,13/07/20,1.00000,488.36,499.95,296.64,425.24,299.33,,,
,06/07/20,1.00000,485.06,497.47,275.98,399.24,290.23,,,
,29/06/20,1.00000,485.06,493.34,278.46,399.24,294.37,,,
,22/06/20,1.00000,480.93,490.86,296.64,424.24,291.06,,,
,15/06/20,1.00000,460.27,478.46,266.07,382.24,285.28,,,
,08/06/20,1.00000,446.22,472.68,283.42,394.24,261.31,,,
,01/06/20,1.00000,439.6,474.33,249.54,345.24,263.79,,,
,25/05/20,1.00000,437.12,479.29,245.4,342.24,253.04,,,
,18/05/20,1.00000,417.29,472.68,231.36,313.24,253.87,,,
,11/05/20,1.00000,403.24,482.59,211.52,293.24,249.74,,,
,04/05/20,1.00000,399.11,481.77,170.2,254.24,260.48,,,
,27/04/20,1.00000,396.63,481.77,171.02,256.24,255.52,,,
,20/04/20,1.00000,405.72,502.43,209.04,323.24,255.52,,,
,06/04/20,1.00000,412.33,512.35,218.13,354.24,270.4,,,
,30/03/20,1.00000,432.99,511.52,203.26,365.24,282.8,,,
,23/03/20,1.00000,471.01,514.83,203.26,356.24,304.28,,,
,16/03/20,1.00000,473.49,516.48,239.62,397.24,303.46,,,
,09/03/20,1.00000,532.17,573.5,299.12,472.24,327.42,,,
,02/03/20,1.00000,556.13,597.47,335.49,514.24,341.47,,,
,24/02/20,1.00000,581.75,624.74,399.12,601.24,349.74,,,
,17/02/20,1.00000,563.57,610.69,406.56,608.24,353.04,,,
,10/02/20,1.00000,565.22,608.21,402.43,585.24,377.01,,,
,03/02/20,1.00000,571.01,620.61,416.48,577.24,385.28,,,
,27/01/20,1.00000,583.41,636.31,426.4,617.24,394.37,,,
,20/01/20,1.00000,594.15,652.02,466.89,649.24,390.23,,,
,13/01/20,1.00000,608.2,675.98,472.68,655.24,383.62,,,
,06/01/20,1.00000,609.85,679.29,487.55,703.24,376.19,,,
,16/12/19,1.00000,581.96,640.11,431.02,673.83,355.19,,,
,09/12/19,1.00000,572.04,631.02,429.37,671.83,357.67,,,
,02/12/19,1.00000,578.65,640.94,399.62,657.83,356.84,,,
,25/11/19,1.00000,578.65,629.37,402.92,667.83,340.31,,,
,18/11/19,1.00000,569.56,626.06,410.36,672.83,334.53,,,
,11/11/19,1.00000,582.78,631.02,403.75,659.83,337.01,,,
,04/11/19,1.00000,568.73,626.06,400.44,653.83,332.05,,,
,28/10/19,1.00000,563.77,629.37,397.14,663.83,326.26,,,
,21/10/19,1.00000,555.51,628.54,395.48,659.83,316.35,,,
,14/10/19,1.00000,557.16,627.71,402.92,675.83,303.95,,,
,07/10/19,1.00000,574.52,627.71,406.23,662.83,300.64,,,
,30/09/19,1.00000,572.04,640.11,389.7,693.83,298.16,,,
,23/09/19,1.00000,589.39,650.03,400.44,704.83,293.2,,,
,16/09/19,1.00000,557.99,626.06,385.57,667.83,285.77,,,
,09/09/19,1.00000,554.68,608.71,379.78,663.83,287.42,,,
,02/09/19,1.00000,554.68,595.48,365.73,650.83,285.77,,,
,26/08/19,1.00000,561.29,598.79,366.56,641.83,288.25,,,
,19/08/19,1.00000,562.12,588.05,349.2,645.83,296.51,,,
,12/08/19,1.00000,567.08,588.05,350.86,633.83,306.43,,,
,05/08/19,1.00000,593.53,610.36,392.18,659.83,322.13,,,
,29/07/19,1.00000,585.26,606.23,407.88,664.83,324.61,,,
,22/07/19,1.00000,593.53,607.05,407.88,647.83,333.7,,,
,15/07/19,1.00000,600.96,618.62,438.46,676.83,318,,,
,08/07/19,1.00000,575.34,602.92,425.24,648.83,319.65,,,
,01/07/19,1.00000,574.52,607.88,429.37,661.83,327.09,,,
,24/06/19,1.00000,554.68,589.7,411.19,656.83,326.26,,,
,17/06/19,1.00000,568.73,580.61,388.05,635.83,327.92,,,
,10/06/19,1.00000,590.22,600.44,402.1,627.83,348.58,,,
,03/06/19,1.00000,623.28,634.33,395.48,637.83,359.32,,,
,27/05/19,1.00000,636.5,645.9,404.57,682.83,354.36,,,
,20/05/19,1.00000,638.98,655.81,431.02,735.83,356.84,,,
,13/05/19,1.00000,616.67,641.76,423.58,710.83,365.11,,,
,06/05/19,1.00000,627.41,650.03,427.71,725.83,368.41,,,
,29/04/19,1.00000,631.54,649.2,435.98,707.83,364.28,,,
,15/04/19,1.00000,620.8,635.98,434.33,709.83,363.45,,,
,08/04/19,1.00000,599.31,625.24,431.02,695.83,356.01,,,
,01/04/19,1.00000,580.3,619.45,427.71,678.83,358.49,,,
,25/03/19,1.00000,553.86,621.1,412.84,668.83,356.01,,,
,18/03/19,1.00000,544.77,626.06,422.76,676.83,359.32,,,
,11/03/19,1.00000,534.02,628.54,416.14,675.83,352.71,,,
,04/03/19,1.00000,524.93,621.1,416.97,678.83,345.27,,,
,25/02/19,1.00000,534.02,628.54,423.58,693.83,346.92,,,
,18/02/19,1.00000,517.49,617.8,423.58,691.83,347.75,,,
,11/02/19,1.00000,495.18,596.31,400.44,649.83,339.49,,,
,04/02/19,1.00000,489.39,589.7,394.66,640.83,341.96,,,
,28/01/19,1.00000,498.48,593,385.57,634.83,332.05,,,
,21/01/19,1.00000,495.18,585.57,385.57,640.83,335.35,,,
,14/01/19,1.00000,490.22,581.43,374.82,633.83,333.7,,,
,07/01/19,1.00000,459.64,551.68,358.29,603.83,331.22,,,
,17/12/18,1.00000,466.5,575.74,368.31,629.27,354.07,,,
,10/12/18,1.00000,471.46,586.49,390.62,650.27,354.9,,,
,03/12/18,1.00000,484.68,607.15,393.1,644.27,359.03,,,
,26/11/18,1.00000,502.04,626.98,383.18,650.27,371.43,,,
,19/11/18,1.00000,515.26,639.38,421.2,717.27,388.78,,,
,12/11/18,1.00000,529.31,646.82,436.9,724.27,401.18,,,
,05/11/18,1.00000,556.59,664.17,448.47,737.27,416.06,,,
,29/10/18,1.00000,570.63,669.13,475.74,784.27,428.45,,,
,22/10/18,1.00000,570.63,669.13,476.57,786.27,428.45,,,
,15/10/18,1.00000,591.3,679.05,466.65,781.27,429.28,,,
,08/10/18,1.00000,611.13,688.97,484.01,812.27,424.32,,,
,01/10/18,1.00000,607,657.56,463.35,791.27,414.4,,,
,24/09/18,1.00000,599.56,641.86,434.42,737.27,412.75,,,
,17/09/18,1.00000,602.87,646.82,422.85,732.27,406.96,,,
,10/09/18,1.00000,602.87,649.3,424.5,735.27,396.22,,,
,03/09/18,1.00000,607.82,641.86,437.73,747.27,387.96,,,
,27/08/18,1.00000,608.65,631.94,433.59,739.27,382.17,,,
,20/08/18,1.00000,603.69,628.64,426.16,713.27,383.82,,,
,13/08/18,1.00000,601.21,622.02,432.77,721.27,385.48,,,
,06/08/18,1.00000,608.65,617.07,432.77,709.27,387.13,,,
,30/07/18,1.00000,598.73,628.64,436.9,711.27,382.17,,,
,23/07/18,1.00000,576.42,610.45,436.9,706.27,383.82,,,
,16/07/18,1.00000,583.86,625.33,437.73,706.27,379.69,,,
,09/07/18,1.00000,590.47,631.12,436.9,710.27,380.52,,,
,02/07/18,1.00000,591.3,626.16,450.12,733.27,373.91,,,
,25/06/18,1.00000,577.25,620.37,422.02,701.27,368.95,,,
,18/06/18,1.00000,583.86,627.81,416.24,699.27,375.56,,,
,11/06/18,1.00000,588.82,632.77,430.29,717.27,377.21,,,
,04/06/18,1.00000,602.04,641.86,427.81,720.27,379.69,,,
,28/05/18,1.00000,609.48,648.47,426.98,733.27,373.91,,,
,21/05/18,1.00000,608.65,643.51,440.21,745.27,371.43,,,
,14/05/18,1.00000,589.64,622.85,417.07,712.27,366.47,,,
,07/05/18,1.00000,568.16,601.36,394.75,688.27,369.77,,,
,30/04/18,1.00000,568.16,599.71,388.97,683.27,362.34,,,
,23/04/18,1.00000,552.45,586.49,373.26,665.27,358.2,,,
,16/04/18,1.00000,549.15,584.01,374.09,667.27,360.68,,,
,09/04/18,1.00000,532.62,562.52,368.31,631.27,359.03,,,
,26/03/18,1.00000,494.6,560.04,363.35,630.27,360.68,,,
,19/03/18,1.00000,478.9,536.9,352.6,600.27,352.42,,,
,12/03/18,1.00000,481.38,530.29,351.78,596.27,353.25,,,
,05/03/18,1.00000,498.73,540.21,343.51,584.27,349.94,,,
,26/02/18,1.00000,497.91,535.25,356.74,610.27,347.46,,,
,19/02/18,1.00000,492.95,520.37,348.47,582.27,351.59,,,
,12/02/18,1.00000,512.92,538.84,366.65,641.27,369.75,,,
,05/02/18,1.00000,531.33,562.85,366.65,641.27,381.63,,,
,29/01/18,1.00000,537.58,572.44,366.65,641.27,389.61,,,
,22/01/18,1.00000,527.66,568.31,369.13,632.27,387.96,,,
,15/01/18,1.00000,535.92,577.4,369.13,645.27,389.61,,,
,08/01/18,1.00000,520.22,571.61,369.96,641.27,385.48,,,
,01/01/18,1.00000,516.09,562.52,360.04,614.27,383,,,
,18/12/17,1.00000,512.77,557.13,356.49,619.56,382.71,,,
,11/12/17,1.00000,504.91,539.96,356.49,619.56,386.94,,,
,04/12/17,1.00000,514,546.58,363.93,616.56,384.46,,,
,27/11/17,1.00000,523.1,548.23,358.97,610.56,383.63,,,
,20/11/17,1.00000,534.67,550.71,364.76,614.56,384.46,,,
,13/11/17,1.00000,546.24,559.8,386.25,621.56,381.15,,,
,06/11/17,1.00000,526.4,550.71,373.85,606.56,362.14,,,
,30/10/17,1.00000,501.61,535.01,354.01,588.56,351.4,,,
,23/10/17,1.00000,486.73,531.7,344.1,568.56,351.4,,,
,16/10/17,1.00000,480.12,520.13,341.62,564.56,351.4,,,
,09/10/17,1.00000,485.91,527.57,330.05,553.56,356.36,,,
